productivity_rank,Batch,Date,pH,OXYGEN,TOTAL_LIQUID_INFLOW,TOTAL_GAS_INFLOW,MEAN_OFFGAS,MEAN_PRESSURE
22,4053.0,2021-04-29 15:00:00,5.800833333333333,31.4875,21713.180833333336,9229.405833333332,1.7816666666666665,3.3654166666666665
22,4053.0,2021-04-29 16:00:00,5.8,31.62,21589.39,9230.566666666668,1.7820833333333332,3.3649999999999998
22,4053.0,2021-04-29 17:00:00,5.802499999999999,33.65,21092.210833333334,9226.96,1.77125,3.3608333333333333
22,4053.0,2021-04-29 18:00:00,5.799166666666667,32.92666666666667,20946.425,9226.08,1.7591666666666665,3.359166666666667
22,4053.0,2021-04-29 19:00:00,5.799166666666667,32.77166666666667,21066.223333333335,9225.321666666667,1.7508333333333335,3.3554166666666667
22,4053.0,2021-04-29 20:00:00,5.798333333333333,30.005,21874.89333333333,9227.464166666667,1.7683333333333333,3.3541666666666665
22,4053.0,2021-04-29 21:00:00,5.801666666666667,33.58583333333333,22021.117500000004,9230.523333333333,1.7520833333333332,3.35
22,4053.0,2021-04-29 22:00:00,5.800833333333333,40.09666666666667,21711.129166666666,9230.011666666667,1.72375,3.3366666666666664
22,4053.0,2021-04-29 23:00:00,5.797499999999999,40.405833333333334,21706.380833333333,9228.2825,1.7233333333333334,3.3349999999999995
22,4053.0,2021-04-30 00:00:00,5.798333333333333,39.90916666666667,21919.555000000004,9227.6925,1.7304166666666667,3.340833333333333
22,4053.0,2021-04-30 01:00:00,5.802499999999999,38.625,22047.525833333333,9228.894166666667,1.7325,3.3475
22,4053.0,2021-04-30 02:00:00,5.795833333333333,38.4475,21664.338333333333,9228.443333333333,1.73375,3.35
22,4053.0,2021-04-30 03:00:00,5.805833333333333,39.134166666666665,21708.095,9228.529166666667,1.7354166666666666,3.35
22,4053.0,2021-04-30 04:00:00,5.795833333333333,40.72833333333333,21740.71416666667,9231.394166666667,1.7329166666666669,3.35
22,4053.0,2021-04-30 05:00:00,5.800833333333333,41.8275,21947.53916666667,9229.780833333332,1.7404166666666667,3.3504166666666664
22,4053.0,2021-04-30 06:00:00,5.802499999999999,42.5625,21979.469166666666,9229.0575,1.7366666666666666,3.35
22,4053.0,2021-04-30 07:00:00,5.799166666666667,43.98833333333334,21606.733333333334,9227.8475,1.73625,3.348333333333333
22,4053.0,2021-04-30 08:00:00,5.8,44.846666666666664,21713.971666666668,9229.34,1.7379166666666668,3.34625
22,4053.0,2021-04-30 09:00:00,5.797499999999999,45.0725,21740.511666666665,9227.375,1.7458333333333333,3.3441666666666663
22,4053.0,2021-04-30 10:00:00,5.797499999999999,40.74166666666667,21950.314166666667,9233.281666666668,1.7704166666666667,3.3504166666666664
22,4053.0,2021-04-30 11:00:00,5.799166666666667,35.175000000000004,21871.885833333334,9234.003333333334,1.8012499999999998,3.362083333333333
22,4053.0,2021-04-30 12:00:00,5.801666666666667,34.975833333333334,21595.77666666667,9231.746666666668,1.8079166666666666,3.360416666666666
22,4053.0,2021-04-30 13:00:00,5.801666666666667,38.222500000000004,21703.592500000002,9234.704166666666,1.8020833333333333,3.3541666666666665
22,4053.0,2021-04-30 14:00:00,5.7925,36.79916666666667,21843.823333333334,9234.2975,1.8245833333333332,3.3516666666666666
22,4053.0,2021-04-30 15:00:00,5.8,30.78333333333333,21886.569999999996,9236.575833333334,1.8579166666666669,3.3616666666666664
22,4053.0,2021-04-30 16:00:00,5.799166666666667,27.781666666666666,21736.965,9236.277499999998,1.8754166666666665,3.3695833333333334
22,4053.0,2021-04-30 17:00:00,5.801666666666667,28.495,21727.010833333334,9240.346666666666,1.87125,3.3637499999999996
22,4053.0,2021-04-30 18:00:00,5.801666666666667,31.4325,21670.903333333332,9235.800833333333,1.8683333333333334,3.357083333333333
22,4053.0,2021-04-30 19:00:00,5.8,33.95583333333334,21839.755833333333,9237.180833333334,1.87625,3.3516666666666666
22,4053.0,2021-04-30 20:00:00,5.803333333333334,37.6175,21878.24,9235.6525,1.866666666666667,3.345833333333333
22,4053.0,2021-04-30 21:00:00,5.795833333333333,37.335,21655.115,9236.798333333334,1.87375,3.345
22,4053.0,2021-04-30 22:00:00,5.803333333333334,37.235,21704.975833333334,9235.658333333333,1.8779166666666667,3.345
22,4053.0,2021-04-30 23:00:00,5.8,36.97,21808.169166666667,9236.724166666667,1.8775000000000002,3.3416666666666663
22,4053.0,2021-05-01 00:00:00,5.799166666666667,37.454166666666666,21964.759166666667,9236.513333333334,1.8741666666666665,3.34
22,4053.0,2021-05-01 01:00:00,5.802499999999999,38.08583333333333,21766.045000000002,9238.885,1.8733333333333333,3.34
22,4053.0,2021-05-01 02:00:00,5.803333333333334,38.59166666666666,21692.13666666667,9236.701666666666,1.8729166666666668,3.3366666666666664
22,4053.0,2021-05-01 03:00:00,5.801666666666667,37.93333333333334,21601.865833333333,9235.472500000002,1.8695833333333332,3.3354166666666667
22,4053.0,2021-05-01 04:00:00,5.799166666666667,37.63166666666667,21823.124166666665,9236.1525,1.87875,3.3354166666666667
22,4053.0,2021-05-01 05:00:00,5.8,38.52,21827.264166666668,9239.7875,1.8758333333333335,3.3349999999999995
22,4053.0,2021-05-01 06:00:00,5.800833333333333,38.777499999999996,21588.936666666665,9237.160833333333,1.8804166666666664,3.3349999999999995
22,4053.0,2021-05-01 07:00:00,5.801666666666667,38.3525,21586.4375,9232.366666666667,1.87375,3.3358333333333334
22,4053.0,2021-05-01 08:00:00,5.795833333333333,31.606666666666666,21643.27,8719.581666666667,1.9691666666666665,3.345
22,4053.0,2021-05-01 09:00:00,5.814166666666666,22.274166666666662,21907.345833333336,7678.900000000001,2.212083333333333,3.356666666666667
22,4053.0,2021-05-01 10:00:00,5.820833333333333,49.0925,21764.384166666667,7623.215,1.9970833333333333,3.3091666666666666
22,4053.0,2021-05-01 11:00:00,5.796666666666667,60.267500000000005,21550.48833333333,7615.080000000001,1.8345833333333335,3.231666666666667
22,4053.0,2021-05-01 12:00:00,5.793333333333333,61.44416666666667,21515.065833333334,7611.244166666666,1.7904166666666665,3.1979166666666665
22,4053.0,2021-05-01 13:00:00,5.797499999999999,59.81666666666666,21395.23,7613.238333333334,1.7920833333333333,3.1999999999999997
22,4053.0,2021-05-01 14:00:00,5.801666666666667,57.21416666666667,21303.64416666667,7611.9783333333335,1.825,3.23
22,4053.0,2021-05-01 15:00:00,5.803333333333334,57.3125,21571.715,7615.374166666667,1.8245833333333332,3.2495833333333333
22,4053.0,2021-05-01 16:00:00,5.802499999999999,58.229166666666664,21587.265,7612.849999999999,1.8179166666666668,3.2570833333333336
22,4053.0,2021-05-01 17:00:00,5.860833333333333,88.4225,28345.37833333333,7568.859166666666,1.04625,3.22125
22,4053.0,2021-05-01 18:00:00,5.78,104.08916666666666,29375.124166666665,8110.503333333333,0.4375,3.0687499999999996
22,4053.0,2021-05-01 19:00:00,5.808333333333334,108.97583333333334,18813.26916666667,7408.099999999999,0.28791666666666665,2.9779166666666668
22,4053.0,2021-05-01 20:00:00,5.793333333333333,95.555,16767.79,6869.565833333333,0.7570833333333332,2.955416666666667
22,4053.0,2021-05-01 21:00:00,5.8325,71.2725,18621.7375,7013.795833333334,1.4337499999999999,2.9483333333333337
22,4053.0,2021-05-01 22:00:00,5.766666666666667,63.28916666666667,20034.96416666667,7724.471666666667,1.60625,3.0745833333333334
22,4053.0,2021-05-01 23:00:00,5.805833333333333,58.535,19888.046666666665,8203.1425,1.6254166666666665,3.2604166666666665
22,4053.0,2021-05-02 00:00:00,5.79,38.47083333333333,19719.857500000002,8215.685833333335,1.7325,3.3229166666666665
22,4053.0,2021-05-02 01:00:00,5.805,16.685,19710.524166666666,8221.795833333334,1.8241666666666667,3.3716666666666666
22,4053.0,2021-05-02 02:00:00,5.815,24.741666666666664,19696.235,8223.815833333334,1.7845833333333332,3.36875
22,4053.0,2021-05-02 03:00:00,5.802499999999999,37.09083333333333,19615.016666666666,8214.745,1.7391666666666667,3.34125
22,4053.0,2021-05-02 04:00:00,5.796666666666667,41.22083333333333,19515.883333333335,8210.828333333333,1.7445833333333332,3.3349999999999995
22,4053.0,2021-05-02 05:00:00,5.797499999999999,42.830000000000005,19534.664166666666,8213.013333333334,1.7541666666666667,3.3383333333333334
22,4053.0,2021-05-02 06:00:00,5.795833333333333,37.005833333333335,19490.195,8220.146666666666,1.8187499999999999,3.356666666666667
22,4053.0,2021-05-02 07:00:00,5.805833333333333,33.43416666666667,19444.701666666664,8217.22,1.8445833333333335,3.3691666666666666
22,4053.0,2021-05-02 08:00:00,5.805833333333333,35.83083333333334,19426.5725,8216.694166666666,1.8208333333333335,3.3699999999999997
22,4053.0,2021-05-02 09:00:00,5.799166666666667,38.4525,19393.130833333333,8194.0325,1.8062500000000001,3.3662499999999995
22,4053.0,2021-05-02 10:00:00,5.798333333333333,34.94166666666667,19145.69,7717.511666666666,1.9070833333333332,3.3674999999999997
22,4053.0,2021-05-02 11:00:00,5.799166666666667,35.84083333333333,18828.465833333332,7718.172500000001,1.9241666666666666,3.3616666666666664
22,4053.0,2021-05-02 12:00:00,5.800833333333333,37.51833333333333,18508.406666666666,7722.1483333333335,1.9183333333333332,3.358333333333333
22,4053.0,2021-05-02 13:00:00,5.794999999999999,38.428333333333335,18581.475000000002,7717.805,1.9208333333333334,3.355
22,4053.0,2021-05-02 14:00:00,5.800833333333333,38.06666666666667,19609.0775,7719.026666666668,1.9279166666666667,3.3512500000000003
22,4053.0,2021-05-02 15:00:00,5.799166666666667,42.97083333333333,19544.239166666666,8058.126666666667,1.8499999999999999,3.342916666666666
22,4053.0,2021-05-02 16:00:00,5.786666666666666,35.560833333333335,19549.406666666666,8226.44,1.8862500000000002,3.3425
22,4053.0,2021-05-02 17:00:00,5.798333333333333,18.895833333333332,19268.128333333334,8230.823333333334,1.9662499999999998,3.37625
22,4053.0,2021-05-02 18:00:00,5.805833333333333,14.374166666666667,19439.718333333334,8229.262499999999,1.9695833333333335,3.3874999999999997
22,4053.0,2021-05-02 19:00:00,5.799166666666667,16.050833333333333,19078.704166666666,8231.280833333332,1.9662499999999998,3.385
22,4053.0,2021-05-02 20:00:00,5.800833333333333,17.535,19169.26166666667,8226.568333333335,1.9683333333333335,3.3808333333333334
22,4053.0,2021-05-02 21:00:00,5.8,19.294999999999998,19238.8225,8226.741666666667,1.9712500000000002,3.3779166666666662
22,4053.0,2021-05-02 22:00:00,5.798333333333333,18.576666666666664,18792.01166666667,8228.943333333335,1.9725000000000001,3.3779166666666662
22,4053.0,2021-05-02 23:00:00,5.800833333333333,18.467499999999998,19046.5775,8226.419166666667,1.9779166666666665,3.379583333333333
22,4053.0,2021-05-03 00:00:00,5.801666666666667,20.555,18842.705833333333,8225.5325,1.9591666666666667,3.375833333333333
22,4053.0,2021-05-03 01:00:00,5.800833333333333,19.820833333333333,19194.3525,8228.859999999999,1.9716666666666667,3.3779166666666662
22,4053.0,2021-05-03 02:00:00,5.797499999999999,21.148333333333333,19217.403333333332,8226.111666666666,1.95875,3.37625
22,4053.0,2021-05-03 03:00:00,5.798333333333333,19.3875,18717.016666666666,8226.028333333334,1.9654166666666668,3.3800000000000003
22,4053.0,2021-05-03 04:00:00,5.800833333333333,18.336666666666666,18898.475000000002,8223.928333333333,1.9666666666666668,3.385
22,4053.0,2021-05-03 05:00:00,5.8,19.634166666666665,19685.495,8228.5975,1.9645833333333333,3.3841666666666668
22,4053.0,2021-05-03 06:00:00,5.8,20.023333333333333,19883.778333333335,8227.395833333334,1.9608333333333334,3.385
22,4053.0,2021-05-03 07:00:00,5.8,20.359166666666667,19870.474166666667,8230.239166666666,1.9425,3.3854166666666665
22,4053.0,2021-05-03 08:00:00,5.802499999999999,19.125833333333333,19719.21416666667,8227.167500000001,1.9349999999999998,3.389583333333334
22,4053.0,2021-05-03 09:00:00,5.794999999999999,17.641666666666666,19474.166666666668,8227.835000000001,1.9275,3.3920833333333333
22,4053.0,2021-05-03 10:00:00,5.798333333333333,12.521666666666667,19697.009166666667,8225.913333333334,1.92375,3.3995833333333336
22,4053.0,2021-05-03 11:00:00,5.801666666666667,10.44,19435.925,8232.224166666667,1.9079166666666667,3.405416666666666
22,4053.0,2021-05-03 12:00:00,5.802499999999999,9.731666666666667,19828.278333333332,8226.424166666666,1.8845833333333333,3.408333333333333
22,4053.0,2021-05-03 13:00:00,5.798333333333333,8.805,19795.11333333333,8225.829166666666,1.86,3.4133333333333336
22,4053.0,2021-05-03 14:00:00,5.8,10.636666666666667,19369.780833333334,8227.862500000001,1.8225,3.4124999999999996
22,4053.0,2021-05-03 15:00:00,5.802499999999999,5.391666666666667,19507.248333333333,8221.89,1.8283333333333334,3.418333333333333
22,4053.0,2021-05-03 16:00:00,5.799166666666667,5.695,19296.99,8221.5,1.7958333333333334,3.422916666666666
22,4053.0,2021-05-03 17:00:00,5.801666666666667,3.1466666666666665,19688.17583333333,8220.105,1.79,3.4283333333333332
22,4053.0,2021-05-03 18:00:00,5.795833333333333,2.4916666666666667,19704.99583333333,8218.289166666667,1.7683333333333333,3.4341666666666666
22,4053.0,2021-05-03 19:00:00,5.805,1.8916666666666666,19340.3925,8218.171666666667,1.7270833333333335,3.4429166666666666
22,4053.0,2021-05-03 20:00:00,5.8,1.4891666666666667,19013.1175,8217.873333333335,1.7,3.452916666666667
22,4053.0,2021-05-03 21:00:00,5.8,1.1941666666666666,19425.1325,8214.355833333333,1.6716666666666666,3.4637499999999997
22,4053.0,2021-05-03 22:00:00,5.825833333333333,1.165,19290.725833333334,8209.77,4.372083333333333,3.469583333333333
22,4053.0,2021-05-03 23:00:00,5.825,1.4124999999999999,19180.58916666667,8203.258333333333,3.4008333333333334,3.4579166666666663
22,4053.0,2021-05-04 00:00:00,5.805833333333333,2.0516666666666667,19129.611666666668,8209.365,1.6070833333333334,3.4454166666666666
22,4053.0,2021-05-04 01:00:00,5.788333333333333,1.7608333333333333,19265.810833333333,8212.945,1.6120833333333333,3.445
22,4053.0,2021-05-04 02:00:00,5.802499999999999,1.6958333333333335,19434.806666666667,8210.603333333333,1.5991666666666668,3.4462499999999996
22,4053.0,2021-05-04 03:00:00,5.8,1.3583333333333334,19202.603333333333,8210.724166666667,1.5770833333333334,3.4562500000000003
22,4053.0,2021-05-04 04:00:00,5.800833333333333,1.2475,18962.856666666667,8213.904166666667,2.5941666666666667,3.4675
22,4053.0,2021-05-04 05:00:00,5.835,1.3958333333333333,18632.343333333334,8193.876666666667,10.752083333333333,3.4683333333333333
22,4053.0,2021-05-04 06:00:00,5.771666666666667,1.2741666666666667,18971.419166666667,8206.794166666667,7.312083333333334,3.4654166666666666
22,4053.0,2021-05-04 07:00:00,5.8133333333333335,1.3941666666666668,18876.528333333332,8199.934166666666,6.76875,3.469583333333333
22,4053.0,2021-05-04 08:00:00,5.769166666666667,1.2825,19102.425,8687.983333333334,3.4620833333333336,3.467083333333333
22,4053.0,2021-05-04 09:00:00,5.8133333333333335,1.375,19550.850833333334,8696.739166666666,1.42125,3.4625
22,4053.0,2021-05-04 10:00:00,5.781666666666666,1.1916666666666667,19719.890833333335,8703.6575,1.4583333333333333,3.467916666666666
22,4053.0,2021-05-04 11:00:00,5.823333333333333,1.325,19378.704999999998,8718.086666666666,5.833333333333333,3.4591666666666665
22,4053.0,2021-05-04 12:00:00,5.7525,8.478333333333333,19402.84833333333,8682.5275,7.997916666666666,3.3941666666666666
